Name: now华剧台, URL: http://ali.hlspull.yximgs.com/live/8ff04d69da6a61d79387d0cf2ed04a9c.flv, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: nowJelli紫金国际台, URL: http://ali.hlspull.yximgs.com/live/827871f728406a685ce60b4cde70c722.flv, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: now爆谷台, URL: http://205.185.123.236:8899/1/baogutai/baogu.m3u8, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: now爆谷台, URL: http://aktv.top/AKTV/live/aktv2/now-1/AKTV.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: now爆谷台, URL: http://hkenlive.uk/livehttpplay?channel_id=13002$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: now爆谷台, URL: http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7275&tk=e640d0a1bf70$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: now直播台, URL: http://ali.hlspull.yximgs.com/live/94cf97e57c4c25c97ece19f1f7b6dbfd.flv, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: now新闻台, URL: http://ali.hlspull.yximgs.com/live/0c0580b6a4c1c977f76bfe685b97cfb1.flv, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: now新闻台, URL: http://108.181.20.197/livehttpplay?channel_id=20041$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: now财经台, URL: http://ali.hlspull.yximgs.com/live/bcbc869c01c20a630048ba90f1288a33.flv, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: HOY TV, URL: http://php.jdshipin.com:8880/TVOD/iptv.php?id=hoytv, IPv_Type: ipv6, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: HOY TV, URL: http://108.181.21.7:40383/liveplay.m3u8, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: HOY TV, URL: http://108.181.21.31:44177/livehttpplay?id=20152, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: HOY TV, URL: http://108.181.20.221:39964/livehttpplay?id=20152, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: HOY TV, URL: http://cdn.132.us.kg/live/hoy/stream.m3u8$订阅源, IPv_Type: ipv6, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: HOY资讯台, URL: https://pull-f5-spe.ixigua.com/live/YesLiveTV-3e9f20e4-e6fd-4292-ac7a-3180610b1edd/index.m3u8$订阅源, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 美亚电影台, URL: http://aktv_stream1.m16tv.cfd/stream/aktv/hk-1/AKTV.m3u8, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 美亚电影台, URL: http://ali.hlspull.yximgs.com/live/0847b012ec6fefd8fab116f82e04c0f5.flv, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 美亚电影台, URL: http://108.181.21.27:38895/livehttpplay?channel_id=20197, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 美亚电影台, URL: http://108.181.21.31:27347/livehttpplay?channel_id=20197, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 美亚电影台, URL: http://108.181.20.215:27347/livehttpplay?channel_id=20197, IPv_Type: ipv4, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
